Frame	Head.X	Head.Y	Feet.X	Feet.Y	ObjC	ObjId	1st_stage	2nd_stage	3rd_stage	4th_stage
101	172	318	376	479	1	1	0	0	0	2
102	178	317	384	479	1	1	0	0	0	2
103	184	315	392	479	1	1	0	0	0	2
104	200	329	392	479	1	1	0	0	0	2
105	217	343	393	479	1	1	0	0	0	2
106	221	355	397	479	1	1	0	0	0	2
107	225	367	402	479	1	1	0	0	0	2
108	240	373	404	479	1	1	0	0	0	2
109	256	379	406	479	1	1	0	0	0	2
110	265	378	406	479	1	1	0	0	0	2
111	274	377	406	479	1	1	0	0	0	2
112	282	360	435	479	1	1	0	0	0	2
113	290	343	465	479	1	1	0	0	0	2
114	301	342	463	479	1	1	0	0	0	2
115	312	340	460	479	1	1	0	0	0	2
116	316	336	461	478	1	1	0	0	0	2
117	320	332	462	477	1	1	0	0	0	2
118	316	332	460	477	1	1	0	0	0	2
119	312	331	457	477	1	1	0	0	0	2
120	312	328	462	478	1	1	0	0	0	2
121	313	324	467	479	1	1	0	0	0	2
122	318	327	468	477	1	1	0	0	0	2
123	323	331	470	475	1	1	0	0	0	2
124	329	338	471	476	1	1	0	0	0	2
125	336	346	472	477	1	1	0	0	0	2
126	325	350	473	478	1	1	0	0	0	2
127	314	354	474	479	1	1	2	0	0	0
128	314	353	474	479	1	1	2	0	0	0
129	315	352	474	479	1	1	2	0	0	0
130	315	356	472	477	1	1	2	0	0	0
131	316	361	469	474	1	1	2	0	0	0
132	315	361	472	476	1	1	2	0	0	0
